compound,density,molar_mass,cid,smiles
Fly Ash,,,,C
Alkaline Silica Sol,,,,O=[Si]=O
Xylene,0.88003,106.078250319,7237.0,CC1=CC=CC=C1C
ODES-3,,881.5,16116811.0,C(CN)C[Si]12O[Si]3(O[Si]4(O[Si](O1)(O[Si]5(O[Si](O2)(O[Si](O3)(O[Si](O4)(O5)CCCN)CCCN)CCCN)CCCN)CCCN)CCCN)CCCN
TMCS,0.854,108.0162045,6397.0,C[Si](C)(C)Cl
APTES,0.94,221.14472013,13521.0,CCO[Si](CCCN)(OCC)OCC
Hexanediol Diacrylate,,226.12050905,17787778.0,CCCCCC(OC(=O)C=C)OC(=O)C=C
HMDSO,0.7638,162.08961826,24764.0,C[Si](C)(C)O[Si](C)(C)C
Nitrogen Atmosphere,,,,N#N
N-butanol-Ethylenediamine azeotrope,,,,
MPTMS,,196.34,20473.0,CO[Si](CCCS)(OC)OC
Aluminum Isoproxide,,204.24,11143.0,CC(C)[O-].CC(C)[O-].CC(C)[O-].[Al+3]
ATMS,,162.26,75698.0,CO[Si](CC=C)(OC)OC
Chloroform-Acetone Azeotrope,,177.45,15930782.0,
PDMS,0.94,236.10840961,24705.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Cyclohexanol-Phenol Azeotrope,,194.27,18624864.0,
BC,,330.125594432,16740968.0,C1[C@@H]([C@@H]([C@H](C2=C1C3=C(C=C2)C4=CC=CC=C4C5=CC=CC=C53)O)O)O
EtOH,0.78982,46.041864811,702.0,CCO
HCl,1.3445,35.9766777,313.0,Cl
DMDEOS,,148.28,62322.0,CCO[Si](C)(C)OCC
TEOS,0.9315,208.11308565,6517.0,CCO[Si](OCC)(OCC)OCC
Ethoxy-polysiloxane,,512.9,155288862.0,
Carbon Fiber,0.46367,16.0313001276,297.0,
Rice Husk Ash,,,,C
MTBE,0.73877,88.088815002,15413.0,CC(C)(C)OC
TIP,,228.11,76524.0,CC[O-].CC[O-].CC[O-].CC[O-].[Ti+4]
EtOH-H2O Azeotrope,,64.08,19096565.0,CCO.O
CTAB,,363.25006,5974.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
HMDZ,0.7741,161.10560268,13838.0,C[Si](C)(C)N[Si](C)(C)C
TMMS,,104.22,15771.0,CO[Si](C)(C)C
Water-Ethylenediamine Azeotrope,,78.12,3301.0,O.C(CN)N
TBC,,166.22,7381.0,CC(C)(C)C1=CC(=C(C=C1)O)O
Heptane,0.68082,100.12520051,8900.0,CCCCCCC
Urea,1.3315,60.032362755,1176.0,C(=O)(N)N
VTMS,,148.23,76004.0,CO[Si](C=C)(OC)OC
Water Glass,2.10467,121.94120896,23266.0,[O-][Si](=O)[O-].[Na+].[Na+]
Silica Fiber,2.2,60.084,24261.0,O=[Si]=O
TBO,,344.35,2733945.0,CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.[Ti]
Silk Fibers,,490.5,134827021.0,CC(C(=O)NCC(=O)NC(C)C(=O)O)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)CN
MeOH,0.7955,32.026214747,887.0,CO
Acetic Anhydride,1.0805,102.031694049,7918.0,CC(=O)OC(=O)C
NH3,0.68653,17.0265491,222.0,N
Xonotlite Fibers,,136.19,6335841.0,O.O[Si](=O)O.[Ca]
Resorcinol,1.2596,110.03677943,5054.0,C1=CC(=CC(=C1)O)O
Graphene,1.36,12.0,5462310.0,C
Toluene,0.86732,92.062600255,1140.0,CC1=CC=CC=C1
HMDS,0.7741,161.10560268,13838.0,C[Si](C)(C)N[Si](C)(C)C
HMTA,1.3398,140.1061964,4101.0,C1N2CN3CN1CN(C2)C3
N-butanol-Pyridine Azeotrope,,153.22,18668509.0,CCCCO.C1=CC=NC=C1
ODES-1,,1010.1,101690124.0,C[SiH](C)O[Si]12C[Si]3(O[Si]4(C[Si](O1)(O[Si]5(C[Si](O2)(O[Si](O3)(C[Si](O4)(O5)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C
PHS,,328.41,69792.0,CCO[Si](CCP(=O)(OCC)OCC)(OCC)OCC
Acetone,0.78912,58.041864811,180.0,CC(=O)C
TmAOH,,91.15,60966.0,C[N+](C)(C)C.[OH-]
TMSPA,,222.31,22385438.0,CO[Si](CCCCC(=O)O)(OC)OC
Cu2O,6.0,141.854109,10313194.0,[O-2].[Cu+].[Cu+]
2-propanol,0.78702,60.057514874,3776.0,CC(C)O
N2,0.955,28.006148008,947.0,N#N
H2O,0.9975,18.010564683,962.0,O
Eosin Y,,670.69619,24180873.0,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)O)Br)Br)Br)C(=O)O.[Na+]
Glass Fiber,,60.084,24261.0,O=[Si]=O
Carbon Nanofiber,0.46367,16.0313001276,297.0,C
TMEOS,,328.43,75087.0,COCCO[Si](OCCOC)(OCCOC)OCCOC
Oxalic Acid,1.9,89.99530854,971.0,C(=O)(C(=O)O)O
Cyclohexane,0.77928,84.093900383,8078.0,C1CCCCC1
SiCl4,1.5,169.849387,24816.0,[Si](Cl)(Cl)(Cl)Cl
Toluene-Ethyleneglycol Azeotrope,,140.03,12691400.0,CC1=CC=CC=C1.C(COP(=O)([O-])[O-])O
AgNO3,4.85,168.89291,24470.0,[N+](=O)([O-])[O-].[Ag+]
ATP Fiber,,507.18,5957.0,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
Cu2+,,62.929597,27099.0,[Cu+2]
Butylamine-Isopropanol Azeotrope,,73.14,8007.0,CCCCN.CC(C)O
LiOH,2.54,24.01874309,3939.0,[Li+].[OH-]
Silicic Acid,,191.97577028,160563451.0,O[Si](O)(O)O.O[Si](O)(O)O
Ca2+,,39.9625908,271.0,[Ca+2]
NaOH,2.02,39.99250893,14798.0,[OH-].[Na+]
Kaolin Clay,,258.16,56841936.0,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
Mg2+,,23.9850417,888.0,[Mg+2]
PMDA,1.68,217.98513778,6966.0,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O
MAPTMS,,460.8,18966775.0,CC(=C)C(=O)OCCC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOC(=O)C(=C)C
AMDMS,,146.26,22033799.0,CO[Si](C)(CC=C)OC
MTMS,,136.22,14456.0,CO[Si](C)(OC)OC
PTPES,,266.41,11196400.0,CCO[Si](C(=C)C1=CC=CC=C1)(OCC)OCC
DMA,,87.12,31374.0,CC(=O)N(C)C
Wheat Husk Ash,,,,C
NH4OH,,35.037113783,14923.0,[NH4+].[OH-]
BN,,25.0123792,66227.0,B#N
MEMO,1.045,248.10800027,17318.0,CC(=C)C(=O)OCCC[Si](OC)(OC)OC
TiCl4,1.726,189.820401,24193.0,Cl[Ti](Cl)(Cl)Cl
BzOH,,268.36,131721753.0,C1=CC=C(C=C1)C(=O)O.C(CNCCNCCN)N
N-butanol,0.80995,74.073164938,263.0,CCCCO
Acetylacetone,0.97403,100.052429494,31261.0,CC(=O)CC(=O)C
SiF3,,84.97213602,139837.0,F[Si](F)F
TPOS,,152.22,12682.0,CO[Si](OC)(OC)OC
Chromium Trichloride Nonahydrate,,266.44,166918.0,O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Cr+3]
APTMS,,179.09776994,87067127.0,CCC[Si](OC)(OC)OCN
NH4F,1.115,37.032777294,25516.0,[NH4+].[F-]
Ba2+,,137.905247,104810.0,[Ba+2]
BPDA,,294.01643791,75494.0,C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O
MTES,,178.10252097,16241.0,CCO[Si](C)(OCC)OCC
PVMDMS,,132.23,85589.0,CO[Si](C)(C=C)OC
DMDMS,,120.22,66187.0,CO[Si](C)(C)OC
Alcohol,0.78982,46.041864811,702.0,CCO
VMDMS,,132.23,85589.0,CO[Si](C)(C=C)OC
Silica Hydrosol,2.2,60.084,24261.0,O=[Si]=O
DMF,0.94862,73.052763847,6228.0,CN(C)C=O
GPTMS,,236.34,17317.0,CO[Si](CCCOCC1CO1)(OC)OC
VTES,,190.10252097,6516.0,CCO[Si](C=C)(OCC)OCC
TMOS,1.0208,152.05048539,12682.0,CO[Si](OC)(OC)OC
Tert-butyl Alcohol,0.78465,74.073164938,6386.0,CC(C)(C)O
OTS,,153.078978594,448337.0,C1=CC(=CC=C1[C@@H](CN)O)O
KP,,243.15829154,171204.0,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N)C(=O)O
CO2,1.56,43.989829239,280.0,C(=O)=O
PO,,208.98243,6328143.0,CC1CO1
Chromium Trichloride Hexahydrate,,264.910451,166918.0,O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Cr+3]
TMES,,118.25,15772.0,CCO[Si](C)(C)C
Isopropanol,0.78702,60.057514874,3776.0,CC(C)O
ASB,,246.32,61289.0,CCC(C)[O-].CCC(C)[O-].CCC(C)[O-].[Al+3]
Acetic Anyhride,,102.09,7918.0,CC(=O)OC(=O)C
DEDMS,,148.28,62322.0,CCO[Si](C)(C)OCC
N-hexane,0.6599,86.109550447,8058.0,CCCCCC
PEDS,,298.12679161,15241538.0,CCO[SiH](OCC)O[Si](OCC)(OCC)OCC
Chitosan,,1525.6353145,71853.0,COC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)N)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)N)O)CO)CO)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O
KOH,1.9228,55.96644614,14797.0,[OH-].[K+]
ODES-2,,1010.1,101690124.0,C[SiH](C)O[Si]12C[Si]3(O[Si]4(C[Si](O1)(O[Si]5(C[Si](O2)(O[Si](O3)(C[Si](O4)(O5)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C)O[SiH](C)C
PVA,,44.05,11199.0,C=CO
Al2O3,3.9925,101.947821,9989226.0,[O-2].[O-2].[O-2].[Al+3].[Al+3]
2-Butanol,0.84726,74.073164938,6568.0,CCC(C)O
CNT,,171.0087061,8491.0,CC1=C(C=C(C=C1)[N+](=O)[O-])Cl
N2 Tube Furnace,0.955,28.006148008,947.0,
NMP,1.029,99.068413911,13387.0,CN1CCCC1=O
WO3-TiO2,,79.866,26042.0,O=[Ti]=O
Formaldehyde,1.1375,30.010564683,712.0,C=O
Ammonium Carbonate,1.5,96.05349212,517111.0,C(=O)([O-])[O-].[NH4+].[NH4+]
Amine,,119.16,7767.0,CN(CCO)CCO
HNO3,1.50645,62.995642894,944.0,[N+](=O)(O)[O-]
Aluminum Chloride Hexahydrate,,239.951485,24564.0,O.O.O.O.O.O.[Al](Cl)(Cl)Cl
ODA,,200.24,7579.0,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N
SDS,,288.38,3423265.0,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
DTBP,,146.23,8033.0,CC(C)(C)OOC(C)(C)C
2-butanol-Ethylenediamine Azeotrope,,60.1,3301.0,
Acetonitrile,0.78467,41.0265491,6342.0,CC#N
N-heptane,0.68082,100.12520051,8900.0,CCCCCCC
Aluminum Isopropoxide,,86.0312283,86733237.0,CC(C)[O-].[Al]
HFIP,1.596,168.00098366,13529.0,C(C(F)(F)F)(C(F)(F)F)O
3-Pentanol-Pyridine Azeotrope,,,,CCC(CC)O.C1=CC=NC=C1
Ni2+,,57.935342,934.0,[Ni+2]
H2SO4,1.74824,97.96737971,1118.0,OS(=O)(=O)O
AAAPTMS,,265.43,118771.0,CO[Si](CCCNCCNCCN)(OC)OC
Fe3+,,55.934936,29936.0,[Fe+3]
Acetic Acid,1.0489,60.021129366,176.0,CC(=O)O
CPTMS,,198.72,62449.0,CO[Si](CCCCl)(OC)OC
CTAC,0.9,319.300578,8154.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
PDA,,331.06817018,12599.0,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O
HA,,404.21988874,5744.0,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O
Polyamic Acid,,99.13,13387.0,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N.C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O
Acetic Ahydride,,102.09,7918.0,CC(=O)OC(=O)C
N-butanol-Ethylenediamine Azeotrope,,,,CCCCO.C(CN)N
HF,13.31,179.94656,23986.0,F
Distilled H2O,0.9975,18.010564683,962.0,O
1-butyl-3-methyl-imidazolium-tetrafluoroborate,,226.03,2734178.0,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C
25% aqueous methanol,0.7955,32.026214747,887.0,CO
Propylene carbonate,1.2047,102.031694049,7924.0,CC1COC(=O)O1
BTMSPA,,341.55,157882.0,CO[Si](CCCNCCC[Si](OC)(OC)OC)(OC)OC
50% aqueous methanol,0.7955,32.026214747,887.0,CO
Tetraisopropoxytitanium(IV),0.9711,284.1467,11026.0,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4]
BTMSA,,170.09470364,84564.0,C[Si](C)(C)C#C[Si](C)(C)C
BTMSH,,326.53,159046.0,CO[Si](CCCCCC[Si](OC)(OC)OC)(OC)OC
BTESO,,438.7,22559815.0,CCO[Si](CCCCCCCC[Si](OCC)(OCC)OCC)(OCC)OCC
DMDES,,148.28,62322.0,CCO[Si](C)(C)OCC
BTESE,,425.7,83535.0,CCO[Si](CCCNCCC[Si](OCC)(OCC)OCC)(OCC)OCC
Flowing N2,0.955,28.006148008,947.0,N#N
RALUFON 414,,360.5,23618264.0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O.[OH-]
H2/N2,,30.03,131711683.0,N#N
UPTMS,,222.31,90280.0,CO[Si](CCCNC(=O)N)(OC)OC
TTMSI,,615.8,117734.0,CO[Si](CCCN1C(=O)N(C(=O)N(C1=O)CCC[Si](OC)(OC)OC)CCC[Si](OC)(OC)OC)(OC)OC
Al(NO3)3,,213.0,16713320.0,[N+](=O)([O-])O[Al](O[N+](=O)[O-])O[N+](=O)[O-]
Pyridine,,79.1,1049.0,C1=CC=NC=C1
acetone,,58.08,180.0,CC(=O)C
Propoxylate diglycidyl ether,,456.6,4078841.0,CC(C)(C1=CC=C(C=C1)OCCCOCC2CO2)C3=CC=C(C=C3)OCCCOCC4CO4
Ytterbium Trinitrate Pentahydrate,,449.14,16211525.0,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.[Yb+3]
poly(hexamethylene diisocyanate),,168.19,13192.0,C(CCCN=C=O)CCN=C=O
Ethanol,,46.07,702.0,CCO
bisphenol,1.195,228.115029749,6623.0,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
Wheat Husk Ash,,,,C
propoxylate diglycidyl ether,,,,CC(C)(C1=CC=C(C=C1)OCCCOCC2CO2)C3=CC=C(C=C3)OCCCOCC4CO4
ethanol,,46.07,702.0,CCO
Tetraisopropoxytitanium(IV),,,,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4]
Bisphenol,1.195,228.115029749,6623.0,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O